!!NAME	NICK NAME
ISABELLA	BELLE
ISABELLA	CYBILLA
ISABELLA	ELIZABETH
ISABELLA	IB
ISABELLA	ISSY
ISABELLA	NIB
ISABELLA	SABE
ISABELLA	SABRA
ISABELLA	SIBELLA
ISABELLA	TIBBIE
ISABELLE	BELLA
ISABELLE	BELLE
ISABELLE	CYBILLA
ISABELLE	ELIZABETH
ISABELLE	IB
ISABELLE	ISSY
ISABELLE	NIB
ISABELLE	SABE
ISABELLE	SABRA
ISABELLE	SIBELLA
ISABELLE	TIBBIE
ISADORA	DORA
ISADORA	ISSY
ISAIAH	ZADIE
ISAIAH	ZAY
ISIDORE	IZZY
IVA	IVY
IVAN	JOHN
JACOB	JAKE
JACQUELINE	JACKIE
JACKSON	JACK
JAMES	JAMIE
JAMES	JIM
JANE	JANET
JANE	JANIE
JANE	JESSIE
JANE	JENNY
JANE	JINSEY
JANE	JOAN
JANE	JOANNA
JANE	VIRGINIA
JANNETT	NETTIE
JASPER	CASPER
JASPER	JAP
JAYME	JAY
JEAN	JENNIE
JEAN	JOANNA
JEANETTE	JEANNE
JEANETTE	NETTIE
JEDEDIAH	DIAH
JEDEDIAH	DYER
JEDEDIAH	JED
JEFFREY	GEOFFREY
JEFFREY	JEFF
JEHU	GEE
JEHU	HUGH
JEMIMA	JEMMA
JEMIMA	MIMA(I)
JENNET	JENNY
JENNET	JESSIE
JENNIFER	JAN
JENNIFER	JENNY
JEREMIAH	JEREMY
JEREMIAH	JERRY
JERITA	RITA
JESSICA	JESS
JESSICA	JESSE
JESSICA	JESSIE
JESSICA	SICA
JINCY	JANE
JINSY	JANE
JESSIE	JANE
JESSIE	JANET
JESSIE	JESS
JESSIE	JESSICA
JOANNA	JANE
JOANNA	JEAN
JOANNA	JOAN
JOANNA	JODY
JOANNA	JOHANNA
JOHN	HANS
JOHN	IAN
JOHN	IVAN
JOHN	JACK
JOHN	JEAN
JOHN	JEHU
JOHN	JAYHUGH
JOHN	JOCK
JOHANNES	JOHN
JOHANNES	JOHNNY
JOHANNES	JONATHAN
JONATHAN	JOHN
JONATHAN	JON
JONATHAN	NAT
JONATHAN	NATHAN
JOSEPH	JOE
JOSEPH	JOEY
JOSEPHA	PHENY
JOSEPHINE	PHENY
JOSEPHINE	JO
JOSEPHINE	JOEY
JOSEPHINE	JOSEY
JOSEPHINE	JOSIE
JOSEPHINE	FINA
JOSETTA	JETTIE
JOSHUA	JOSH
JOYCE	JOY
JUANITA	NITA
JUDAH	JUDE
JUDAH	JUDER
JUDITH	JUDA
JUDITH	JUDE
JUDITH	JUDI
JUDITH	JUDIE
JUDITH	JUDY
JULIA	JILL
JULIA	JULIE
JULIA	JULIET
JULIA	JULIUS
JULIA	JULE
JUSTIN	JUSTUS
KARONHAPPUCK	CARRIE
KARONHAPPUCK	KAREN
KARONHAPPUCK	KARON
KARONHAPPUCK	HAPPY
KATARINA	CATHERINE
KATARINA	TINA
KATHERINE	KAT
KATHERINE	KATE
KATHERINE	KITSEY
KATHERINE	KITTY
KAYLA	KAY-KAY
KENDRA	KAY
KENDRA	KENNY
KENDRA	KENJ
KENDRA	KENJI
KEZIAH	KEZZY
KEZIAH	KEZZIE
KEZIAH	KID
KEZIAH	KIZZY
